Video Title,Video URL,Transcript,Status,Summary
Blessed Christmas Wishes from the Dilmah Family 2025,https://www.youtube.com/watch?v=cnuSE24ECuM," Hello friends, as we celebrate Christmas, things that are happening in the world around us demand reflection on what truly matters. Values, purpose and how we can positively impact people and nature. Our grandfather wanted to make the world a better tea and by better he meant kinder, better for our health, better for nature and better tasting. He meant it sincerely, which is why Dilma has a foundation of quality and integrity with a heart of kindness. My father's dream became reality 40 years ago. It has now become the global mission for the family to touch the lives of hundreds of thousands of less fortunate people every year through our work in tea, tourism and cinnamon. Business must serve humanity. Life without purpose is meaningless. So for us this blessed season is as much about hope as it is about giving. We cannot live without hope. Yet conflict chaos and inequality around the world are pushing many towards hopelessness The coolest thing about all this is that the happiness the strength the resilience we all seek comes more easily from giving than from receiving. It's the truth, something we learnt from our grandfather's legacy of kindness. We're a family business. We believe in the transformative power of tea. Every cup presents our respect for nature and our generational commitment to quality, integrity and purpose. It's you, our customers around the world, that help us to translate that purpose into impact. True joy comes from giving. Ours is a powerful partnership in giving and receiving. Every cup, a cup of kindness. Taste and goodness with the assurance of kindness. From us all, Merry Christmas! And a happy 2026!",Success,"The family‑owned tea, tourism, and cinnamon business was founded 40 years ago, originating from the founder’s grandfather’s vision of healthier, kinder, and more sustainable products. Its stated global mission is to assist hundreds of thousands of less‑fortunate people each year through those three sectors. The company emphasizes quality, integrity, and environmental respect, attributing its impact to worldwide customers. A holiday message references the upcoming year 2026."
"Dilmah: 40 years, 40 stories - Hassan Shahin",https://www.youtube.com/watch?v=Rg8J8xUqL4M," I'm Hassan Shaheen, distribution deal in Egypt. I know Miril Fernando from 25 years ago. I remember when I started distribution deal in Egypt. Miril Fernando asked me, Mr Shaheen, I need you make improve. I need bombing in Egyptian market. Okay, Mr. Mirik, what can I do? How can I help you? I need you achieve in the first year one million dollars. This is in 2010. Okay Mr. Meryl but I think this is big number. No Mr. Shaheen you can follow, you can achieve. Yes, first year I achieved one million dollars and Meryl Fernando very very happy after I achieved this number. Every week he contacted me, Mr. Shaheen, what you make this week from Dilma? Month by month, after 12 months, we achieved this number. Of course, this is Miril Fernando, follow everything. When he needs success, he's success. This is Miril. you",Success,"Hassan Shaheen entered a distribution agreement in Egypt in 2010, working with Miril Fernando, who set a target of $1 million in revenue for the first year. Shaheen met the $1 million goal after twelve months, prompting weekly performance updates from Fernando regarding weekly sales, including a product referred to as “Dilma.” Fernando expressed satisfaction with the achieved milestone."
"Dilmah: 40 years, 40 stories - Koshy Mathew",https://www.youtube.com/watch?v=TxSRGBcGhnE," My association with Dilma started way back in 2001. I had reached the country and we were into FMCG distribution and an ex-colleague of mine actually reached out to me and he had completed a research on tea brands internationally and he said, you know what, there is this lovely brand from Sri Lanka called Dilma which is really going to be the future of tea. And I then reached out to Mr. Fernando and he said, look, you're welcome to come and experience what Dilma is all about. And before you knew it, I was on the next flight to Colombo wherein I met Mr. Fernando and Dilma. Now it's almost 20 years later, 20, 25 years later. We're very proud to say that we've come a very long way since then. and we are the market leaders with Dilma in the premium restaurants, cafes and hotels in the UAE, something that we are very proud of. Over the years I've shared a very close relationship with Mr. Fernando. He been there for me through ups and downs in life always giving me sound advice when I needed the most And this is something that I will never forget The thing which I always remember about him is his humility. You know, despite the great person that he was, he has always remained humble. And that's something that he has actually passed on through the generations, both with Dilhan and now with Amrit coming in from the third generation. They stay grounded, they stay humble, and that for me, the true values of Dilma. And now when I see Amrit on the stage with Dilhan, it's like a flashback for me where I see the same Mr. Fernando and Dilhan all those years back. And it's like the same rerun which is happening. Dude, try it. You know, one thing that I have not come to terms with is coming to Colombo and not having to get to see Mr. Fernando. That is something that a void which will never be filled. I do miss his infectious smile and his sound advice that he used to give every time that I met him on the numerous occasions, either when I was in Colombo or when he traveled through Dubai. That void will never be filled. Thank you.",Success,"In 2001, after an ex‑colleague’s research identified Dilma as a promising Sri Lankan tea brand, the speaker traveled to Colombo and met its founder, Mr. Fernando. Over the next two decades, Dilma expanded into the United Arab Emirates and became the market leader in premium restaurants, cafés, and hotels. The speaker maintains a long‑standing personal relationship with Mr. Fernando, noting his humility and mentorship, which he says have been passed to second‑generation leader Dilhan and third‑generation leader Amrit. Following Mr. Fernando’s death, the speaker remarks that his absence leaves an unfilled void."
Nature in Conversation in the Netherlands,https://www.youtube.com/watch?v=Gb1NoGxIoDM," There's a very special ingredient that illuminates the work of the artisan and that's nature. It's nature that gives brightness to tea, it's nature that gives intensity and flavor, gives the taste adventure. But it's also nature that gives us the possibility to personalize, to enhance teas in different ways. Now that brings me to this beautiful location. And here I am in the Netherlands. And here's Kira. It's a pleasure to meet you. You have a beautiful garden. Thank you. So nice to meet you too. I'd like to know a little bit more about what you're doing here. Do you think you could show me around a little bit? Yes, well we have a very special sage which is called in Dutch Bontesali which means a colourful sage and it's a different type of sage than the usual sage that we use in cooking. It's minty, it's complex, it's got a little citrus. It's beautiful, that's fantastic. Now let's go and have a look at your rosemary. I think the wonder of rosemary is also the fact that it is so good for human health, for cognitive ability. What is it about the garden that enthousins you so much It like a communication with nature And I feel the happiest when I in that interaction in connection with nature in that quiet You know, we taste 10,000 teas each week in Sri Lanka. and the incredible thing is from day to day the teas change because of rainfall of sunshine and this is the beauty and I really value your comment about communication with nature because it is that and it is that nature the influence of nature in what we do that makes it so very special but thank you Kira. You're welcome, thank you. So in this cup I have a combination of the nature, the people, the heritage of Sri Lanka and our tea making tradition taking us back to a different time. But also I have a connection with the nature here in the Netherlands and this beauty that surrounds us. And that combination of taste is what makes tea so extraordinarily special. Nature, the fingerprint of nature, goodness, anti-stress and so much more. Who can think of something greater? Cheers.",Success,"The speaker, while in the Netherlands, meets Kira, who tends a garden featuring a Dutch sage called Bontesali (“colorful sage”) and rosemary noted for cognitive health benefits. They discuss how nature influences tea characteristics, citing that the speaker’s company samples 10,000 teas weekly in Sri Lanka, with flavor variations driven by rainfall and sunshine. The conversation emphasizes a “communication with nature” that links the Dutch garden’s herbs to the heritage and anti‑stress qualities of Sri Lankan tea. The combined sensory profile is presented as a distinctive product of both locales."
"Dilmah: 40 years, 40 stories - Daron Curtiss",https://www.youtube.com/watch?v=KbN90W95iPE," Once you test my Dilma, you test... It was 1992. I get a call from a Meryl J. Fernando. He was casting for an advertising agency in New Zealand. I said, okay, how about coming into the agency and talking to us? And when he arrived, I asked him, how did you find out about us? He said, oh, I found you in the yellow pages. And I said, Meryl, I really need time with you. We need time for you to tell you a story, to get a feel for the tea industry. We knew little about it. So Meryl gave us his time, talked about the tea industry, and from that we gained a lot of information and, importantly, a lot of feel for Meryl and what Meryl was like as a person. So when Meryl came back the next time, we presented him with television commercial, magazine advertisements, and the suggestion that he promotes his own brand. Meryl's personality and the way that he spoke passionately about Dilma was something no actor, no one else could do. Meryl was very reluctant to go on television. And so he said, I'm away for a few days down on the South Island. When I come back, I'll give you my decision. So when Meryl came back he said he'd be happy to do the television commercial and what he said is I'm here for another three days, you need to do it then. Of course getting a crew together in three days and a location, a script that was signed off by TVNZ it was a bit of work to be done and it was Easter We presented him with the location and the script and he changed one or two words and he sat down on the couch and started with his television commercial I have devoted 43 years of my life. At first he was rushing, you know, he was very passionate about his brand. He wanted to sell his product and he started off very quickly and so we had to stop him and get him to calm down, slow down and deliver that real lovely delivery that he's got in his voice. Beautiful timber. So when Meryl was halfway through he stopped, he changed a few more words and then he carried on delivering his natural delivery to camera. I promise to give you the best salon tea. It was wonderful. During our meetings we'd also put to him about a line he would say to us was try it, you must try it. And to customers we'd hear him say try it, you must try it. So we shortened that down to do try it. Do try it. And so that was the first time Meryl delivered his line to TV in 1994. And since then, the brand has grown from strength to strength, and we're proud to be part of it. Now, here we are today celebrating 40 years of Dilma. Meryl's family is following in his footsteps. They continue in the tradition of making the world a better tea and making a stand for quality, for taste, for humanity and a better world. As my friend Meryl would say with a cup of duma in his hand, do try it.",Success,"In 1992 the agency received a call from Meryl J. Fernando, who had found them in the Yellow Pages while seeking work for a New Zealand advertising campaign. After briefing him on the tea industry, the agency produced television and magazine concepts and invited Fernando to promote his own brand, culminating in a rushed three‑day shoot in 1994 with a script approved by TVNZ that featured his line “I have devoted 43 years of my life” and the shortened slogan “do try it.” The commercial aired in 1994, after which the Dilma tea brand experienced sustained growth and is now marking its 40th anniversary. Fernando’s family continues to manage the brand, emphasizing quality, taste, and social responsibility."
When a Tea Garden Becomes a Forest Again,https://www.youtube.com/watch?v=Ekz68g6swrE," In the lush hills of Ratnapur, Sri Lanka, tea plantations weave through patches of fragmented lowland tropical forest. Nearby, the Singharaja Forest Reserve complex, one of the island's last pristine rainforest and a UNESCO World Heritage Site, stands as a reminder of what remains of Sri Lanka's primary tropical forests. But even this stronghold does not escape the effects of fragmentation. Amidst this landscape of loss and resilience, a unique reforestation effort is taking root. Inspired by the vision of the late Meryl J. Fernando, founder of Dilma Tea and a passionate advocate for environmental stewardship, this initiative seeks to restore the land now shaped by tea. Led by a dedicated team of Sri Lankan ecologists and forestry experts and supported by Dilma Frank Linia Foundation and Rajarata University of Sri Lanka, the project aims to reconnect two isolated forest reserves, Niharakhanda and Valanghanda. Their mission? To establish a three-kilometer long biodiversity corridor that will give rare and endangered plant and animal species a chance to thrive once more. Walangkhanda Forest Reserve, one of the two forest patches connected by the Andhāna Biodiversity Corridor, borders one of Sri Lanka's largest and vital rainforests, the Singaraja Rainforest Complex, a biodiversity hotspot. Professor Nimal Gunatilaka, the co-lead scientist on the Andhana project, has devoted his life to studying the biodiversity and historical changes of these lowland tropical forests in southwestern Sri Lanka. So the British started clearing the highland forest and they introduced agricultural plantations starting with coffee in the early part of 19th century. And this continued in the highlands to start with, and gradually they shifted or moved down to lowlands with introduction of tea, rubber, and coconut as time went by. So in the early 20th century, much of this lowland areas, especially the rainforest, have been cleared for cultivation of tea and rubber. According to the British sources available, in the latter part of the 19th century, there was about 70% of the forest cover in the island. However, by about 1920, it was reduced to about 50%. Half of that's gone, mostly for plantation agriculture. Professor Gunadilika's research has played a valuable role in shaping the reforestation approach of the Andana Biodiversity Corridor. He is joined by Professor Nalaka Giki Anage, who serves as the project's lead scientist. I arrived at this enormous tree garden of Andana Tea Estate and the site looked very challenging and lots of possibilities and opportunities At the same time it was just next to Singharaja World Heritage Site and on the other hand in the front side we had Iharakandha proposed forest reserve In between we have Andana Tea Garden as well as a community where they have been cultivating their home gardens for hundreds of years. Andhraanatiya state residents and local villages in Belwala, Ratnipura have long shared a close connection with forests. Getting them involved in the project has been key to ensuring its sustainability over the long term. For each singleôi號, the J and Kodas done Nguyen's best miles, as well as the other side внимание for aca好不好. Saud comradions, 1.4.3% sano and related to our democratic ver Pakistan. A third of the Andhana Biodiversity Corridor comprises of the village home gardens. In contrast to the team monoculture of the estate, these gardens possess a high plant diversity and the Andhana Biodiversity Corridor project team are helping the community improve them so that their structure and functions are similar to the forest and can merge into to the biodiversity corridor. In this landscape, we value the ecosystem service values using a toolbox. We considered how much soil conservation measures they apply and how many types of species of trees do they cultivate in their home gardens, how many of them are of utility species, and how many of them are of the common value or rainforest species. At the same time, we considered the vertical stratification or the layering of the home garden because we wanted to mimic these home gardens to the rainforest ecosystem, at least from the functions and the ecosystem services they provide. Having considered these values, we came up with the value for each and every home garden. And based on that, we awarded some of the home gardens with cash awards for preserving and maintaining their home gardens as agri-part. Livelihood opportunities like sustainable beekeeping empower communities to take greater ownership in protecting and sustaining the forest. With the help of some undergraduate students we realized that we can do beekeeping successfully here. We conducted several workshops, training, farmer days and different activities related to beekeeping and then we introduced some bee colonies to this biodiversity corridor and they are having The features of the beekeeping project in the Andar Biodiversity Corridor, we didn't bring colonies from the outside, we used the bee strain found in this area and also this bee colony is actually very helpful to maintain the biodiversity and ecosystem stability in this biodiversity corridor. The nursery is among the few in the country cultivating such a wide range of threatened plant species for restoration. Moreaciehistoire Even in the past 60 years We were E ingenua I have been able to do this. I have been able to do this. I have been able to do this. I have been able to do this. I have been able to do this. Dr. Himesh Straassinger is a dedicated plant biodiversity researcher who scours forests of Sri Lanka, researching rare, threatened and endangered species of plants and trees of Sri Lanka. He joined the Andana team as a tree identification expert. On their field surveys that extended beyond the project site, they discovered several species of rare plants, some of them that were thought to be previously extinct. In the past, we have found the tree tree. We have found the tree tree tree. They actually work their organisation through their coping infrastructure and toстаточно toちは actualising property. Let them know that just lessjälp this picnic has picked 3 steps. And how do we survive the floodgates? It was a very difficult time to do it. It was a very difficult time to do it. It was a very difficult time to do it. It was a difficult time to do it. These techniques have enabled the project to sustain over 80% survival rate. Another important finding of our research in Singharaj was that tree species in particular are not distributed in a random way but they show affinities to specific habitats. There are species which are restricted to ridgetops and upper hill slopes and lower slopes and valleys. So this is quite important in restoration purposes because you cannot plant the species that show affinities to valley bottoms on ridge tops. Similarly, ridge top species shouldn't be planted in the valley bottoms. We have to identify the species that are most suitable for their habitat if you are restoring these endemic tree species which are threatened. So that's a very important factor which we have now fine-tuned and we are using in the restoration model in the Valangkandha area. And I must say that it shows promising results after four years of planting. Initial growth statistics are quite impressive. From標準 value, they made their two��ary priorities that are separate from three to 3 locations. They took a Brasilian holiday by smokingčà and wine with some catering. Bldjee Stapada colocar our촉s brings them into a city with discipleship inside our own period. The corridor was originally the vision of Dilma T founder and philanthropist, Meril J Fernando, who dreamed of restoring the land that had become degraded due to centuries of plantation agriculture On 1st January 2018 my father Dilma founder Meril J Fernando made a very symbolic gesture He began the process of uprooting tea plants on our Endana tea garden to create a biodiversity corridor to connect to the fragmented parts of the Sinharaja forest ecosystem. The objective was to enrich biodiversity, species biodiversity, but what it did was it enriched our business. We acknowledge the fact that taste in tea is crafted not by the tea maker, it's crafted by the winds, by the sunshine, by rainfall and all of this beauty of nature. Beyond simply providing monetary support to the project, we engage every step of the project. We collaborated with experts in the field, conducted several biodiversity assessments, initiated restoration projects, conducted several education and awareness sessions through community, collaborated with universities and conducted several research and development programs, and also we implemented several community uplifting programs like beekeeping. From the perspective of Nature by Solution, the Andana Biodiversity Corridor is a prime example how ecological restoration can link with sustainability of the estates. As the sun sets over this emerging corridor, the signs are unmistakable. Green canopy growing once where there was none, birdsong returning, footprints of species long thought lost. For the team, these are more than just outcomes. They are quiet affirmations that say ecological restoration is possible. It has been seven years for this project and we have a long way and long term plan to accomplish. And in the plans ahead, we foresee that the model of Andana could be replicated elsewhere. And recently released Singaraja Landscape Management Plans proposed that there are six clusters of high ecological value and these places identified as potential places for establishing biodiversity corridors like Andam. And the knowledge that we have gained could be shared by the companies, the private sector, the local communities can come forward to work with us for the many years to come. This corridor is more than a path for wildlife. It's a step towards a more sustainable future. A vision that could guide future restoration across South Asia, offering a path for people and nature to thrive together once again. Thank you.",Success,
"Dilmah: 40 years, 40 stories - Roshan Tissaaratchy",https://www.youtube.com/watch?v=BDaHOBSt82c," is not just theoretical but is done in practice to achieve success. Meryl G. Fernando, in my mind, is a one in a billion person. It has been a great privilege for me to be part of this wonderful Dilma 40-year story. More importantly, it has been a greater privilege and pleasure to have been associated with the late founder. Meryl G. Fernando out of the 27 years that I have worked for the company to be closely associated with him over the years. Meryl G. Fernando at all times was a tea man. If one should have seen him during his time as the chairman of the company many a times you would notice him in his full white kit with his apron say name Jeff and in the tea room tasting tea and he would always challenge us and say know your tea and know your product very well and this knowledge helped him to not only present the right product but to also build fantastic recipes the delighted consumers and made commercial success and I always remember the style of the late founder where I would call a don say don can say can attitude He never accepted any excuses of not being able to do what was right and what was required by the customer. Even though he was a founder, chairman and CEO, he brought his two sons into the business. With the two sons together, we saw a formidable team. It was wonderful to see the mutual love and respect that they showed to the father and to each other as they became a very strong team that directed and led the Dilma brand. Another element which I will never forget and which gave me a lot of encouragement and motivation was his belief in this country, Sri Lanka or Ceylon. He truly believed in the concept and in the product Ceylon tea. When I first started working with Mr. Vaviljo Fernando, I realized what a great achievement he has made not only for himself or for the brand, but for our country. As he took from this small country, Sri Lanka, a brand to 100 countries across the world.",Success,"Meryl G. Fernando, founder, chairman and CEO of the Dilma tea brand, led the company for 27 years, emphasizing deep product knowledge and rigorous standards. Under his leadership and later together with his two sons, Dilma expanded from Sri Lanka (Ceylon) to export its tea to approximately 100 countries. He was known for personally testing teas in a white kit and apron, using that expertise to develop successful recipes and drive commercial growth. An employee who worked 27 years with the firm described the period as a 40‑year corporate history marked by a “don‑can‑say‑can” attitude and a strong belief in Sri Lankan tea."
Dilmah Internship Programme 2025,https://www.youtube.com/watch?v=q3k074DisIE," This is my very first internship and it has been an incredible foundation for me. I've been learning how to improve processes, solve challenges, while growing my skills in such a supportive environment. So what I really love is working with a lot of teams and gaining real in that big failure. Working at DERMA never felt like working in a corporate setting. I always felt like I was part of a family.",Success,"The speaker describes their first internship at DERMA as a foundational experience. They report learning to improve processes, solve challenges, and develop skills within a supportive environment while collaborating with multiple teams. They note that the workplace culture felt more like a family than a typical corporate setting."
A Journey of Authenticity & Innovation – Dilmah Australia 2025,https://www.youtube.com/watch?v=Me1Y1zhtgzM," For 40 years I've been visiting Australia, mostly with my father. We always talked about authenticity, we talked about tea growers, we talked about the passion, we talked about soils and we talked about the fingerprint of nature. And this time, 40 years since my father first launched Dilma, we're talking about innovation. but innovation that's grounded in authenticity, grounded in the passion of tea growers, in our quest for stewardship of soils, of livelihoods and all of those great things that form the definition of value, the 21st century definition. Not value as in the case of discounts and price, but true value. Value expressed in significance, the lives of people, their soils, the biodiversity, and all of those great things. Our commitment as tea growers is to offer you a combination of innovation, authenticity, respect for nature, tradition, natural wellness, all of those things that make tea the greatest herb the world has ever known.",Success,"The speaker has visited Australia for 40 years, initially with his father, who launched the tea brand Dilma. Their discussions have centered on authenticity, tea growers, soil stewardship, and the ecological “fingerprint” of nature. They now emphasize innovation that remains grounded in these authentic practices and in preserving biodiversity, livelihoods, and soil health. The growers’ commitment is to deliver tea that integrates innovation, tradition, natural wellness, and respect for the environment."
"Dilmah: 40 years, 40 stories - John Burton",https://www.youtube.com/watch?v=fMjfnVdZO7Q," 1985 our Labour government disbanded all the import controls and therefore you could start bringing in tea bags. Previously it was just tea chairs so I immediately went to Merrill we started selling his tea bags under the supermarket labels. We were doing a really good business. But then in about 1988, Meryl said to me, look, there's no real future in bulk tea. You know, you're doing well on the tea bags. Why don't we set up a new brand? And I said, look, you must be joking. We can't do that in our market. It's so difficult with all the other competitors. So Meryl said, no, no, can you please do this? And I agreed. So I was probably aged 29 and he was aged 59. And most people at 59 are thinking about retortaring, but no, no, not Meryl. So then we started preparing ourselves. He'd just started in Australia. We started increasing sales. Why? You ask why? Because the quality of the tea from Meryl was spectacular. We used to be able to sell it because we could say to them, it's the tea that you remembered, not a blended, it was a pure Sri Lankan tea. If you go back over our history, most of our teas did come from Sri Lanka and Meryl was just bringing them the tea they remembered. Now what we did in 95 was quite spectacular we started to put Merrill on the screen Do try it And that when the do try it ad came into place 1995, 30 years ago. Why I know it, because it's the year I got paralyzed. Anyway, that didn't stop us. And then our sales started to improve. 9% market share, 15% market share. And you know, things started to move. And then we became market leader. Gosh, that was an immensely proud moment. Because I was the one who said to me, you'll be mad because of these. But no, no, we became market leader. And we've been the market leader for over 15 years now. You know, Meryl didn't take no for an answer. He was certainly strong in his views. He had very good tea. He said what he was going to do. and I got on very well with them. You know, we formed Duma New Zealand and that was the starting point. And our families are very proud of the change of the generation, of the legacy Merrill has created, and especially in our two families and the way we move forward. We'll be involving my daughter who works in the business And, you know, we will use her to take the generational change forward. Most of my staff on the Doolmaar side have been with me for a very long time because they understand the company, they understand its philosophy, and they like it. They like what's going on, and they like what Doolhaan is now trying to do.",Success,"In 1985 the UK Labour government removed import controls, enabling the speaker’s company to sell Merrill’s tea bags under supermarket labels. After Merrill proposed a new pure‑Sri‑Lankan tea brand in 1988, the partners (aged 29 and 59) launched it, and in 1995 a “Do Try It” television campaign boosted sales, raising market share from 9 % to 15 % and establishing the brand as the New Zealand market leader for more than 15 years. The business later formed Duma New Zealand and is planning a generational transition that includes the founder’s daughter. Most staff have remained with the company for many years, reflecting continuity of its philosophy."
